Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
5.897555833,-0.3849993896,9.488468628,3.143612823,10.00307768
5.907531833,-0.3109034729,9.582024078,2.572400665,9.926182126
5.917507833,-0.193996582,9.497449951,2.073488159,9.723093304
5.927483833,-0.2905458069,9.230704651,1.498683472,9.356087717
5.937459833,-0.28081604,8.948691101,0.997375946,9.00847872
5.947434833,-0.1567240906,8.613687744,0.8394543457,8.655914891
5.957410833,-0.1496887207,8.294551392,0.7909552002,8.333522642
5.967386833,-0.04909790039,8.189020844,0.7006929016,8.219090188
5.977362833,0.0383203125,8.337512054,0.3567082214,8.345227166
5.987338833,0.120050354,8.695417786,0.4649331665,8.708666109
5.997313833,0.3254232788,9.254804535,1.082249451,9.323549279
6.007289833,1.102307739,10.13662079,2.171384583,10.42502155
6.017265833,1.782792664,10.94014984,2.978655853,11.47770094
6.027241833,1.900747375,11.39071289,2.50519043,11.81681682
6.037217833,1.939816132,11.60671371,1.594334564,11.87520916
6.047193833,1.965562592,11.71733368,0.7571255493,11.90514947
6.057168833,1.808239746,11.51914581,0.1472937012,11.66113831
6.067144833,1.401685181,10.89988358,-0.06855743408,10.98985366
6.077120833,0.7782316589,10.05908203,0.1922003174,10.09097204
6.087097583,-0.2345622253,9.300010529,0.2360591125,9.30596256
6.097073583,-1.263821869,9.12667099,-0.4703219604,9.225755894
6.107049583,-1.682650909,9.661508789,-1.772763519,9.965879623
6.117024583,-1.751507721,10.14410522,-3.035537567,10.73243395
6.127000583,-1.976639557,10.34169434,-3.581751709,11.12145184
6.136976583,-2.311792603,10.3819606,-2.754871216,10.98721104
6.146952583,-2.792592773,10.1616188,-1.450334015,10.63769429
6.156928583,-2.726580048,10.28316605,-0.2118095398,10.64061117
6.166904583,-2.705623627,10.42267593,0.1079255676,10.76866848
6.176879583,-2.75786499,10.50111282,0.09789642334,10.85765967
6.186855583,-2.606080627,10.5106929,0.6487509155,10.84837312
6.196831583,-2.618055725,10.10832962,1.790426788,10.59425182
6.206807583,-2.725532227,9.53621933,3.132535858,10.40099928
6.216783583,-2.88539978,8.861572266,3.985162811,10.13580374
6.226758583,-2.86085083,8.390052795,3.225791931,9.433090001
6.236734583,-2.460433502,8.460705872,1.744472351,8.982230271
6.246710583,-2.044298859,8.666228485,0.0470022583,8.904205927
6.256686583,-1.832489319,8.756790161,-2.115401001,9.193166616
6.266662583,-1.975891113,8.847950592,-3.984863434,9.903005198
6.276638583,-2.184856567,9.105714569,-4.505780182,10.39180885
6.286613583,-2.183209991,9.454788666,-3.641776886,10.36445722
6.296589583,-1.636097717,10.04082001,-2.007475433,10.36941849
6.306565583,-1.233584747,10.54437286,-1.052311707,10.66831244
6.316541583,-1.434916077,10.7004982,-0.9123527527,10.83476042
6.326517583,-1.959724731,10.5292543,-0.9315129089,10.75050852
6.336493583,-2.317630463,10.24080414,-0.5412744141,10.51372714
6.346468583,-2.428250427,9.84278183,0.0462538147,10.13799259
6.356444583,-2.375859375,9.58651474,0.392334137,9.88432591
6.366420583,-2.324366455,9.454489288,0.3734733582,9.743178612
6.376396583,-2.173031158,9.486522675,-0.2535726929,9.735526487
6.386372583,-1.971849518,9.43907135,-0.7424560547,9.671375262
6.396348583,-1.624571686,9.455237732,-0.6680607605,9.617019232
6.406323583,-1.217268677,9.339827728,-0.4225712585,9.428292077
